CO,NO2,Ozone,SO2,AQI,AQI_Level
1.25,23.98,41.1,14.28,38.05555556,Good
0.64,16.5,29.11,13.36,26.9537037,Good
0.83,17.59,26.16,15.94,24.22222222,Good
0.77,14.52,18.23,15.02,21.45714286,Good
0.58,13.96,19.14,14.62,20.88571429,Good
0.77,13.63,20.82,16.3,23.28571429,Good
0.57,8.42,25.6,16.15,23.7037037,Good
0.82,16.86,19.18,16.38,23.4,Good
0.84,13.11,9.63,16.93,24.18571429,Good
0.98,7.58,22.84,15.83,22.61428571,Good
0.9,10.27,17.6,17.17,24.52857143,Good
1.06,15.19,12.2,16.49,23.55714286,Good
1.38,13.42,31.81,16.65,29.4537037,Good
1.02,16.01,14.81,16.14,23.05714286,Good
1.4,15.86,27.07,17,25.06481481,Good
0.77,11.2,17.9,16.38,23.4,Good
1.07,11.21,25.83,16.96,24.22857143,Good
1.04,17.49,26.49,16.46,24.52777778,Good
1.04,13.64,14.83,16.25,23.21428571,Good
0.73,7.82,21.77,16.9,24.14285714,Good
0.63,7.09,24.62,16.91,24.15714286,Good
0.66,7.76,20.99,17.06,24.37142857,Good
0.73,10.27,17.68,16.48,23.54285714,Good
0.58,8.68,19.03,17.07,24.38571429,Good
0.67,10.19,21.1,17.36,24.8,Good
1.19,13.94,23.22,17.3,24.71428571,Good
0.99,21.3,20.88,18.73,26.75714286,Good
0.47,8.75,37.36,16.26,34.59259259,Good
0.74,10.57,38.11,16.63,35.28703704,Good
0.89,14.92,45.58,17.11,42.2037037,Good
1.18,33.38,52.33,16.31,48.4537037,Good
1.43,43.74,27.8,17.82,41.26415094,Good
0.77,27.76,18.15,18.27,26.18867925,Good
0.73,22.98,26.63,16.05,24.65740741,Good
0.75,61.91,15.99,16.53,59.42586957,Moderate
0.65,47.57,24.6,16.28,44.87735849,Good
0.89,49.55,30.15,16.45,46.74528302,Good
1.1,58.69,38.93,16.82,55.99586957,Moderate
2.2,60.39,36.04,18.97,57.80673913,Moderate
3.07,70.11,36.89,16.24,68.16065217,Moderate
1.21,67.22,41.18,16.03,65.08217391,Moderate
1.45,74.51,44.37,16.67,72.8476087,Moderate
1.99,72.27,37.07,16.14,70.46152174,Moderate
1.3,84.9,21.45,17.68,83.91521739,Moderate
1.88,79.42,5.27,15.57,78.07782609,Moderate
2.08,122.39,49.87,16.98,111.5869697,Unhealthy for sensitive groups
1.78,86.92,37.55,17.28,86.06695652,Moderate
1.98,83.2,45.75,18.92,82.10434783,Moderate
2.19,92.43,48.84,19.83,91.93630435,Moderate
2.17,102.42,60.58,21.35,101.7028283,Unhealthy for sensitive groups
2.33,72.24,41.8,21.94,70.42956522,Moderate
1.32,72.27,39.43,17.79,70.46152174,Moderate
1.11,71.99,38.09,22.81,70.16326087,Moderate
1.82,71.75,47.64,21.49,69.9076087,Moderate
1.79,73.58,49.11,20.56,71.85695652,Moderate
2.77,76.56,61.55,19.24,75.03130435,Moderate
2.09,71.84,45.92,17.79,70.00347826,Moderate
2.91,61.26,32.82,17.44,58.73347826,Moderate
2.09,87.88,38.06,18.92,87.08956522,Moderate
1.71,110.54,47.11,20.84,105.7218182,Unhealthy for sensitive groups
3.18,126.16,41.61,21.57,113.4529293,Unhealthy for sensitive groups
0.85,104.19,41.26,20.53,102.5788889,Unhealthy for sensitive groups
1.87,109.86,40.99,19.1,105.3852525,Unhealthy for sensitive groups
2.9,116.53,48.72,13.45,108.6865657,Unhealthy for sensitive groups
3.36,122.76,38.32,15.24,111.770101,Unhealthy for sensitive groups
3.44,86.21,28.9,13.57,85.31065217,Moderate
3.26,55.69,37.25,10.22,52.80021739,Moderate
2.7,42.62,44.88,9.31,41.55555556,Good
1.62,51.36,36.52,8.89,48.45283019,Good
2.75,56.05,33.37,7.96,53.18369565,Moderate
2.87,47.66,39.75,7.13,44.96226415,Good
3.04,52.72,35.78,6.49,49.73584906,Good
2.92,53.47,37.03,6.44,34.28703704,Good
1.9,53.21,20.82,6.4,21.59090909,Good
0.64,54.22,13.4,6.03,51.23434783,Moderate
1.37,71.76,27.4,5.99,69.91826087,Moderate
1.06,67.72,42.58,4.77,65.61478261,Moderate
0.88,56.5,50.86,4.67,53.66304348,Moderate
2.27,64.34,23.66,18.77,62.01434783,Moderate
2.73,66.96,41.4,8.77,64.80521739,Moderate
2.67,69.62,32.29,7.57,67.63869565,Moderate
2.91,98.03,72.35,6.07,105.725,Unhealthy for sensitive groups
3.1,132.74,65.31,7.5,116.709697,Unhealthy for sensitive groups
2.26,151.12,54.4,6.64,125.8068687,Unhealthy for sensitive groups
1.72,94.84,41.61,5.24,94.50347826,Moderate
1.93,85.44,33.36,4.99,84.49043478,Moderate
1.28,81.33,43.22,4.22,80.1123913,Moderate
1.13,98.65,36.02,4.68,98.56195652,Moderate
2.06,93.07,37.66,5.91,92.61804348,Moderate
1.81,103.73,38.16,5.02,102.3512121,Unhealthy for sensitive groups
1.81,110.23,35.71,5.73,105.5683838,Unhealthy for sensitive groups
1.73,121.18,38.51,5.7,110.9880808,Unhealthy for sensitive groups
1.7,126.82,28.1,7.68,113.779596,Unhealthy for sensitive groups
2.48,126.01,35.32,7.27,113.3786869,Unhealthy for sensitive groups
0.95,84.09,26.46,5.71,83.0523913,Moderate
1.17,101.51,23.56,7.21,101.2524242,Unhealthy for sensitive groups
1.95,119.57,30.45,10.72,110.1912121,Unhealthy for sensitive groups
1.3,98.13,30.87,7.82,98.00804348,Moderate
2.41,92.64,26.58,6.14,92.16,Moderate
2.92,102.46,27.58,8.27,101.7226263,Unhealthy for sensitive groups
1.6,108.96,25.38,4.97,104.939798,Unhealthy for sensitive groups
1.69,104.5,24.34,5.49,102.7323232,Unhealthy for sensitive groups
2.82,91.47,27.06,7.23,90.91369565,Moderate
2.73,108.73,27.56,6.7,104.8259596,Unhealthy for sensitive groups
3.22,117.44,27.66,6.43,109.1369697,Unhealthy for sensitive groups
0.76,104.7,23.71,4.38,102.8313131,Unhealthy for sensitive groups
0.87,113.62,27.04,6.54,107.2462626,Unhealthy for sensitive groups
2.75,98.02,23.59,5.75,97.89086957,Moderate
2.77,99.73,24.07,5.53,99.7123913,Moderate
3.45,111.54,26,6.91,106.2167677,Unhealthy for sensitive groups
3.4,103.32,27.19,6.7,102.1482828,Unhealthy for sensitive groups
2.05,99.42,32.15,8.59,99.38217391,Moderate
3.04,86.59,42.24,12.89,85.71543478,Moderate
2.08,70.9,35.83,14.69,69.00217391,Moderate
1.53,76.13,35.61,14.44,74.57326087,Moderate
1.39,77.97,34.49,14.4,76.53326087,Moderate
2.65,80.79,35.55,16.1,79.53717391,Moderate
0.86,92.06,37.01,16.6,91.54217391,Moderate
2.95,102.44,99.61,25.68,186.0994737,Unhealthy
1.54,101.98,77.56,22.34,123.96,Unhealthy for sensitive groups
2.8,97.74,109.21,21.82,204.3807447,Very Unhealthy
2.7,100.33,101.35,19.41,190.5868421,Unhealthy
3.35,128.88,110.53,21.53,205.7709574,Very Unhealthy
3.67,94.19,146.41,19.97,243.5594681,Very Unhealthy
2.32,94.27,127.33,20.67,223.4645745,Very Unhealthy
2.97,87.78,102.5,17.76,193.5526316,Unhealthy
0.97,92.99,66.41,18.39,92.53282609,Moderate
3.82,84.7,86.58,21.17,152.4957895,Unhealthy
1.12,63.63,59.42,18.2,65.43866667,Moderate
0.77,61.5,54.84,20.41,58.98913043,Moderate
2,61.84,81.99,23.28,139.465,Unhealthy for sensitive groups
3.09,53.8,75.83,21.8,117.905,Unhealthy for sensitive groups
2.47,48.49,55.26,21.03,51.84933333,Moderate
2.73,47.83,60.87,20.87,70.17533333,Moderate
2.02,57.55,57.43,20.47,58.938,Moderate
0.93,56.94,30.05,17.07,54.13173913,Moderate
0.4,51.77,40.36,18.29,48.83962264,Good
1.22,53.43,12.14,17.4,24.85714286,Good
1.82,38.66,13.98,17.04,36.47169811,Good
0.49,42.44,14.32,17.88,40.03773585,Good
1.32,46.54,14.45,18.47,43.90566038,Good
0.68,62.64,14.51,21.88,60.20347826,Moderate
1.13,77,13.46,21.13,75.5,Moderate
1.51,76.13,14.03,18.11,74.57326087,Moderate
1.32,97.93,10.6,17.03,97.795,Moderate
1.68,79.67,9.91,15.12,78.34413043,Moderate
5.36,53.32,14.58,21.53,59.6,Moderate
0.85,62.16,14,18.29,59.69217391,Moderate
1.26,66.79,22.37,11.9,64.62413043,Moderate
1.42,69.1,15.18,5.19,67.08478261,Moderate
2.13,98.06,12.17,8.52,97.93347826,Moderate
1.53,71.64,15.37,6.17,69.79043478,Moderate
1.78,65.4,14.92,6.81,63.14347826,Moderate
1.49,54.02,20.11,7.83,51.02130435,Moderate
1.09,78.78,16.38,11.31,77.39608696,Moderate
1.57,96.13,12.99,6.62,95.8776087,Moderate
1.18,88.35,13.77,7.63,87.59021739,Moderate
1.42,88.52,11.92,3.22,87.77130435,Moderate
1.73,70.41,13.76,12.2,68.48021739,Moderate
2.37,82.43,13.12,7.79,81.28413043,Moderate
1.86,108.11,9.43,7.96,104.5190909,Unhealthy for sensitive groups
1.9,113.27,11.12,10.03,107.0730303,Unhealthy for sensitive groups
2.2,61.52,22.33,7.43,59.01043478,Moderate
2.11,61.59,15.64,8.34,59.085,Moderate
3.11,76.95,13.45,7.54,75.44673913,Moderate
3.34,82.06,14.35,9.29,80.89,Moderate
2.06,96.49,13.22,7.8,96.26108696,Moderate
2.56,82.64,12.87,7.28,81.50782609,Moderate
1.45,88.44,11.19,4.68,87.68608696,Moderate
1.1,52.86,19.17,5.33,49.86792453,Good
1.35,75.03,13.71,3.32,73.40152174,Moderate
2.25,97.71,12.87,7.02,97.56065217,Moderate
1.76,91.44,12.72,6.69,90.88173913,Moderate
1.77,69.32,20.58,7.88,67.31913043,Moderate
1.34,64.4,62.04,6.34,73.99733333,Moderate
1.93,71.76,57.91,9.73,69.91826087,Moderate
0.92,70.6,80.45,14.19,134.075,Unhealthy for sensitive groups
1.37,78.52,50.22,9.62,77.11913043,Moderate
1.94,70.43,54.56,6.83,68.50152174,Moderate
1.5,75.9,55.61,7.14,74.32826087,Moderate
1.03,58.67,62.31,6.63,74.87933333,Moderate
0.96,62.21,74.53,7.63,113.355,Unhealthy for sensitive groups
1.21,67.39,62.92,7.09,76.872,Moderate
1.26,65.16,49.48,8.31,62.88782609,Moderate
1.32,69.46,44.86,7.2,67.46826087,Moderate
1.34,73.23,61.45,8.97,72.07,Moderate
1.75,85.41,63.32,9.07,84.45847826,Moderate
2.21,80.29,47.69,10.37,79.00456522,Moderate
1.8,76.45,52.29,7.08,74.91413043,Moderate
1.21,75.86,45.83,7.96,74.28565217,Moderate
1.28,64.38,62.56,13.41,75.696,Moderate
1.36,81.58,57.76,11.63,80.37869565,Moderate
1.41,85.42,51.49,10.66,84.46913043,Moderate
1.23,87.05,56.99,11.76,86.20543478,Moderate
2.01,92.8,57.42,14.98,92.33043478,Moderate
1.3,75.41,48.75,12.05,73.80630435,Moderate
1.24,57.83,53.16,6.99,55.07978261,Moderate
1.45,67.84,59.92,9.23,67.072,Moderate
2.19,76.15,49.52,11.13,74.59456522,Moderate
1.44,67.86,51.65,12.35,65.76391304,Moderate
1.61,61.34,50.31,11.34,58.81869565,Moderate
1.39,59.63,46.81,10.85,56.99717391,Moderate
1.39,61.67,46.07,11.02,59.17021739,Moderate
1.31,63.67,45.85,11.86,61.30065217,Moderate
2.03,69.04,39.53,11.4,67.02086957,Moderate
1.19,32.26,62.8,6.27,76.48,Moderate
1.2,47.77,63.68,8.05,79.35466667,Moderate
1.32,63.36,56.95,14.35,60.97043478,Moderate
1.42,77.27,63.8,19.5,79.74666667,Moderate
2.16,83.59,59.95,16.11,82.51978261,Moderate
1.85,88.15,58.19,15.15,87.37717391,Moderate
2.71,85.26,51.4,14.09,84.29869565,Moderate
2.06,73.87,71.43,9.5,102.505,Unhealthy for sensitive groups
1.94,76.68,74.43,9.26,113.005,Unhealthy for sensitive groups
0.22,79.57,55.34,12.21,78.2376087,Moderate
0.69,74.54,47.8,18.12,72.87956522,Moderate
1.41,65.17,61.05,15.81,70.76333333,Moderate
1.19,82.76,50.56,12.31,81.63565217,Moderate
2.42,74.95,87.82,12.55,155.6936842,Unhealthy
1.68,96.25,50.37,11.11,96.00543478,Moderate
1.68,94.09,53.16,10.55,93.70456522,Moderate
1.38,66.41,75.83,11,117.905,Unhealthy for sensitive groups
1.62,77.81,49.76,8.88,76.36282609,Moderate
1.16,36.1,128.99,6.63,225.2128723,Very Unhealthy
1.95,85.66,59.64,10.58,84.72478261,Moderate
2.45,85.66,41,10.92,84.72478261,Moderate
2.68,79.04,42.49,10.09,77.67304348,Moderate
1.92,68.28,46.3,6.8,66.21130435,Moderate
1.68,64.72,51.41,6.53,62.41913043,Moderate
1.72,62.42,57.82,7.42,60.212,Moderate
1.44,59.41,70.5,7.51,56.76282609,Moderate
1.97,91.33,71.35,12.12,102.225,Unhealthy for sensitive groups
1.16,40.05,81.42,4.37,137.47,Unhealthy for sensitive groups
2.02,88.73,40.37,5.97,87.995,Moderate
0.91,74.41,50.3,4.53,72.74108696,Moderate
1.76,65.3,48.16,4.47,63.03695652,Moderate
1.68,44.61,53.08,2.7,49.14814815,Good
1.65,51.86,75.58,5.77,117.03,Unhealthy for sensitive groups
1.86,70.66,49.27,7.52,68.74652174,Moderate
1.5,62.63,62.22,8.35,74.58533333,Moderate
1.27,60.48,41.63,4.75,57.9026087,Moderate
1.84,77.66,55.86,5.43,76.20304348,Moderate
1.36,49.18,31.76,3.12,46.39622642,Good
1.39,44.81,60.88,4.77,70.208,Moderate
1.38,51.06,75.34,4.67,116.19,Unhealthy for sensitive groups
1.73,67.48,63.6,6.81,79.09333333,Moderate
1.8,71.58,66.16,9.07,87.456,Moderate
1.69,72.51,71.8,8.82,103.8,Unhealthy for sensitive groups
2.8,81.4,56.11,7.36,80.18695652,Moderate
2.18,60.36,60.95,7.85,70.43666667,Moderate
2.59,77.57,41.06,6.55,76.10717391,Moderate
1.56,45.85,66.4,3.55,88.24,Moderate
1.5,38.38,60.33,2.58,68.41133333,Moderate
1.4,33.55,85.69,2.87,31.6509434,Good
1.68,49.2,73.08,3.28,108.28,Unhealthy for sensitive groups
1.71,54.75,52.53,4.79,51.79891304,Moderate
1.48,43.89,84.9,2.84,149.65,Unhealthy for sensitive groups
1.54,65.88,82.11,2.53,139.885,Unhealthy for sensitive groups
2.34,85.65,60.93,3.98,84.71413043,Moderate
2.2,85.57,51.92,4.29,84.62891304,Moderate
2.44,77.28,38.24,7.3,75.79826087,Moderate
2.13,57.34,54.56,7.94,54.55782609,Moderate
1.37,35.45,65.16,5.48,84.18933333,Moderate
1.6,43.2,70.48,6.88,40.75471698,Good
2.17,76.72,61.28,10.01,75.20173913,Moderate
1.33,31.08,51.76,6.19,47.92592593,Good
1.39,31.17,42.6,5.37,39.44444444,Good
1.45,42.31,54.68,6.59,39.91509434,Good
1.89,67.63,52.67,6.27,65.51891304,Moderate
1.26,31.06,74.63,5.77,113.705,Unhealthy for sensitive groups
1.52,55.56,74.13,5.36,111.955,Unhealthy for sensitive groups
1.81,69.79,77.09,7.18,122.315,Unhealthy for sensitive groups
1.63,54.68,44.51,6.33,51.72434783,Moderate
1.38,34.5,47.62,5.07,44.09259259,Good
1.33,39.64,61.74,6.67,73.01733333,Moderate
1.38,57.16,63.62,5.2,79.15866667,Moderate
1.78,63.18,55.68,6.82,60.77869565,Moderate
1.4,52.87,43.04,6.77,49.87735849,Good
1.35,38.44,44.32,6.53,41.03703704,Good
1.6,46.62,37.53,5.88,43.98113208,Good
1.53,45.78,61.42,4.94,71.972,Moderate
1.4,46.13,66.36,4.7,88.10933333,Moderate
1.44,34.83,40.81,5.86,37.78703704,Good
1.49,36.28,31.32,7.2,34.22641509,Good
1.68,56.66,21.03,4.6,53.83347826,Moderate
1.51,35.44,31.67,5.26,33.43396226,Good
1.56,34.54,38.09,5.18,35.26851852,Good
1.61,50.77,33.78,7.47,47.89622642,Good
1.61,42.35,18.51,5.14,39.95283019,Good
1.49,36.56,17.45,5.6,34.49056604,Good
1.42,35.82,20.33,5,33.79245283,Good
1.51,34.8,18.03,5.79,32.83018868,Good
1.51,31.37,22.36,5.51,29.59433962,Good
1.45,32.85,21.91,4.91,30.99056604,Good
1.47,42.23,23.24,5.83,39.83962264,Good
1.62,49.67,23.99,5.75,46.85849057,Good
1.48,40.25,35.04,5.62,37.97169811,Good
1.61,42.32,30.07,5.95,39.9245283,Good
2.08,41.4,46.1,9.13,42.68518519,Good
1.71,53.11,33.3,6.46,30.83333333,Good
1.76,45.89,37.32,4.69,43.29245283,Good
1.97,44.09,22.62,6.18,41.59433962,Good
2.05,52.49,36.36,6.14,49.51886792,Good
1.72,64.12,32.1,5.56,61.78,Moderate
1.54,34.35,21.11,5.81,32.40566038,Good
1.73,40.6,19.04,5.25,38.30188679,Good
1.49,36.3,25.2,5.48,34.24528302,Good
1.57,30.19,18.08,5.2,28.48113208,Good
1.54,31.67,19.76,5.23,29.87735849,Good
1.56,39.82,18.74,5.46,37.56603774,Good
1.6,37.89,24.57,5.9,35.74528302,Good
1.55,36.34,25.85,4.79,34.28301887,Good
1.59,38.41,23.27,5.74,36.23584906,Good
1.7,43.18,23.05,4.41,40.73584906,Good
1.66,40.67,28.57,5.52,38.36792453,Good
1.91,36.79,22.6,5.99,34.70754717,Good
1.64,40.93,15.11,4.93,38.61320755,Good
1.94,43.34,23.18,6.33,40.88679245,Good
1.53,36.16,17.85,5.78,34.11320755,Good
1.52,35,17.03,6.25,33.01886792,Good
1.43,25.16,20.55,5.19,23.73584906,Good
1.42,25.33,22.62,5.77,23.89622642,Good
1.49,29.54,20.36,5.45,27.86792453,Good
1.7,33.12,17.08,5.54,31.24528302,Good
1.66,38.09,33.78,5.82,35.93396226,Good
2.09,41.59,16.69,6.02,39.23584906,Good
1.48,28.69,17.87,6.11,27.06603774,Good
1.46,20.94,12.2,4.73,19.75471698,Good
1.39,17.06,15.58,5.35,16.09433962,Good
1.45,26.01,40.97,4.11,37.93518519,Good
1.8,37.19,22.03,5.1,35.08490566,Good
1.61,39.25,29.69,6.18,37.02830189,Good
1.79,45.6,25.85,6.71,43.01886792,Good
1.69,40.33,30.11,5.99,38.04716981,Good
2.34,43.96,28.41,6.55,41.47169811,Good
1.54,33.69,27.03,4.74,31.78301887,Good
1.5,32.73,21.89,5.54,30.87735849,Good
1.62,37.98,26.34,6.11,35.83018868,Good
1.66,38.72,26.41,6.51,36.52830189,Good
1.58,33.65,30.85,6.27,31.74528302,Good
1.53,30.62,34.51,6.06,31.9537037,Good
1.8,42.09,38.29,6.77,39.70754717,Good
2.04,53.22,27.53,7.05,25.49074074,Good
1.68,40.15,55.31,18.03,52.01266667,Moderate
1.87,60.22,39.79,16.59,57.62565217,Moderate
1.78,62.79,38.05,7.43,60.36326087,Moderate
1.58,32.66,30.66,3.84,30.81132075,Good
1.6,34.91,29.6,6.16,32.93396226,Good
1.56,33.09,33.19,6.45,31.21698113,Good
1.63,35.39,41.61,5.5,38.52777778,Good
1.84,43.4,37.56,6.77,40.94339623,Good
1.94,46.02,51.29,6.74,47.49074074,Good
2,54.26,59.66,6.28,66.22266667,Moderate
1.92,53.06,29.05,6.67,26.89814815,Good
1.54,30.26,27.34,5.61,28.54716981,Good
1.52,31.21,40.5,8.15,37.5,Good
1.58,27.16,35.84,6.08,33.18518519,Good
1.74,36.88,56.89,6.94,57.174,Moderate
1.78,59.34,59.79,5.61,66.64733333,Moderate
1.48,42.2,50.57,4.9,46.82407407,Good
1.48,26.62,39.81,7.51,36.86111111,Good
1.5,34.39,34.37,6.69,32.44339623,Good
1.61,37.38,40.81,6.53,37.78703704,Good
1.61,35.95,27.24,6.14,33.91509434,Good
1.51,35.26,38.37,5.47,35.52777778,Good
1.48,42.22,38.93,6.06,39.83018868,Good
1.3,41.87,40.14,6.2,39.5,Good
0.84,31.97,27.07,6.17,30.16037736,Good
0.7,12.86,23.26,4.26,21.53703704,Good
0.89,10.95,24.59,2.46,22.76851852,Good
2.42,0.4,34.48,2.89,31.92592593,Good
0.82,0.92,39.82,5.45,36.87037037,Good
0.86,0.5,52.83,3.36,48.91666667,Good
1.62,0.28,59.59,5.46,65.994,Moderate
0.92,22.46,49.04,3.44,45.40740741,Good
1.26,46.19,50.64,3.94,46.88888889,Good
1.35,52.47,64.98,4.23,83.60133333,Moderate
0.98,54.35,44.97,3.24,51.37282609,Moderate
0.56,41.56,56.49,3.09,55.86733333,Moderate
1.91,47.16,64.14,4.52,80.85733333,Moderate
2.13,69.58,73.5,5.65,109.75,Unhealthy for sensitive groups
0.4,73.5,67.79,3.47,92.78066667,Moderate
0.42,69.96,59.16,5.1,68.00086957,Moderate
0.36,68.96,53.32,4.85,66.93565217,Moderate
0.42,62.26,52.68,5.53,59.79869565,Moderate
0.97,65.04,63.28,6.81,78.048,Moderate
1.31,76.19,68.26,9.28,94.316,Moderate
1.27,69.83,43.62,7.84,67.8623913,Moderate
1.75,63.14,38.75,9.35,60.73608696,Moderate
0.47,56.55,52.38,10.74,53.71630435,Moderate
0.93,33.97,41.37,8.28,38.30555556,Good
0.67,30.99,45.36,8.34,42,Good
0.11,31.54,43.17,8.87,39.97222222,Good
1.45,45.11,20.42,7.62,42.55660377,Good
2.69,93.39,20.33,10.69,92.95891304,Moderate
2.75,61.69,20.8,11.3,59.19152174,Moderate
2.52,36.16,20.91,11.68,34.11320755,Good
2,36.05,21.54,10.41,34.00943396,Good
1.07,38.94,23.38,15.74,36.73584906,Good
1.72,80.55,20.48,11.5,79.28152174,Moderate
2.38,39.08,23.94,10.47,36.86792453,Good
2.4,43.77,25.26,12.09,41.29245283,Good
2.29,57.61,26.65,11.55,54.84543478,Moderate
1,45.58,21.8,10.47,43,Good
1.63,36.48,22.01,11.42,34.41509434,Good
0.99,35.59,26.59,11.29,33.5754717,Good
0.94,37.95,27.28,13.19,35.80188679,Good
1.73,34.19,23.34,12.41,32.25471698,Good
1.1,17.76,18.27,11.49,16.91666667,Good
1.28,6.44,27.54,10.02,25.5,Good
1.2,14.51,26.45,10.92,24.49074074,Good
0.91,28.03,30.9,11.99,28.61111111,Good
1.67,34.99,32.7,11.98,33.00943396,Good
1.51,38.56,37,12.53,36.37735849,Good
1.87,55.97,33.08,13.15,53.09847826,Moderate
2.72,95.26,21.39,12.76,94.95086957,Moderate
2.26,68.97,37.74,12.03,66.94630435,Moderate
0.74,43.24,31.41,13.1,40.79245283,Good
0.57,24.31,35.14,11.55,32.53703704,Good
0.74,7.68,35.46,10.66,32.83333333,Good
1.4,9.43,36.97,11.61,34.23148148,Good
1.63,17.72,40.26,12.45,37.27777778,Good
3.35,52.14,55.69,14.49,53.254,Moderate
2.43,47.75,47.41,13.29,45.04716981,Good
2.13,30.8,30.46,12.52,29.05660377,Good
0.58,27.43,31.97,12.77,29.60185185,Good
0.87,38.36,26.02,13.32,36.18867925,Good
2.64,53.89,71.76,14.58,103.66,Unhealthy for sensitive groups
0.66,45.86,26.19,12.78,43.26415094,Good
0.45,29.04,29.8,11.67,27.59259259,Good
0.54,28.54,26.59,12.97,26.9245283,Good
1,40.02,25.19,10.46,37.75471698,Good
0.85,37.88,32.13,10.87,35.73584906,Good
1.22,47.79,31.64,10.89,45.08490566,Good
1.56,50.64,35.99,13.37,47.77358491,Good
1.48,55.21,29.41,12.05,52.28891304,Moderate
2.99,64.9,30.58,12.34,62.61086957,Moderate
2.01,65.39,25.79,13.13,63.13282609,Moderate
1.25,57.26,28.25,12.36,54.4726087,Moderate
2.43,51.31,33.32,12.97,48.40566038,Good
2.05,50.43,37.16,9.38,47.5754717,Good
2.1,37.37,38.77,12.85,35.89814815,Good
2.7,41.65,30.28,13.87,39.29245283,Good
1.4,59.19,32.14,10.86,56.52847826,Moderate
0.53,36.22,26.04,10.59,34.16981132,Good
0.47,31.05,22.74,12.36,29.29245283,Good
0.85,32.96,23.67,11.21,31.09433962,Good
0.47,28.42,19.31,12.32,26.81132075,Good
0.41,22.17,22.16,10.25,20.91509434,Good
1.04,29.69,28.4,11.44,28.00943396,Good
2.26,30.52,18.35,12.87,28.79245283,Good
1.29,31.67,20.88,13.35,29.87735849,Good
1.06,41.44,20.89,12.78,39.09433962,Good
0.78,21.47,19.95,8.24,20.25471698,Good
0.74,33.16,23.42,12.88,31.28301887,Good
1.59,51.2,23.76,11.16,48.30188679,Good
1.12,38.39,20.11,9.97,36.21698113,Good
0.62,32.48,20.82,9.37,30.64150943,Good
0.98,40.9,18.64,10.27,38.58490566,Good
1.74,27.17,22.96,11.43,25.63207547,Good
2.15,5.73,31.44,10.73,29.11111111,Good
1.84,68.6,19.64,10.69,66.55217391,Moderate
0.68,18.59,21.1,9.68,19.53703704,Good
2.35,16.56,25.54,13.42,26.70454545,Good
2.05,17.33,42.52,14.3,39.37037037,Good
2.14,9.43,31.66,14.92,29.31481481,Good
1.95,12.99,40.61,12.62,37.60185185,Good
0.9,67.22,24.4,12.31,65.08217391,Moderate
1.08,72.77,15.92,14.34,70.99413043,Moderate
0.77,52.52,19.77,13.03,49.54716981,Good
0.74,44.4,16.71,11.12,41.88679245,Good
0.39,28,20.09,10.65,26.41509434,Good
0.77,40.81,21.44,11.42,38.5,Good
1.24,51.53,26,13.7,48.61320755,Good
3.59,64.55,21.52,12.78,62.23804348,Moderate
0.25,63.61,21.82,14.14,61.23673913,Moderate
0.72,36.29,22.54,10.95,34.23584906,Good
0.85,40.25,23.11,11.88,37.97169811,Good
0.95,43.73,16.77,13.41,41.25471698,Good
0.93,28.75,25.8,11.84,27.12264151,Good
1.11,38.38,26.94,12.27,36.20754717,Good
0.68,31.87,29.56,9.96,30.06603774,Good
0.55,27.83,24.86,10.46,26.25471698,Good
1.82,45.02,19.94,12.08,42.47169811,Good
2.37,74.14,15.53,12.1,72.45347826,Moderate
0.41,12.95,24.62,11.12,22.7962963,Good
0.55,11.64,26.44,16.18,24.48148148,Good
1.38,49,22.08,11.74,46.22641509,Good
2.58,65.05,21.42,13.47,62.77065217,Moderate
3.12,99,12.56,13.42,98.93478261,Moderate
0.54,47.33,14.28,11.5,44.6509434,Good
0.38,5.67,17.06,10.57,15.7962963,Good
0.27,35.49,25.8,10.3,33.48113208,Good
0.66,34.56,17.11,10.46,32.60377358,Good
1.36,36.71,19.46,10.57,34.63207547,Good
0.78,29.31,19.77,10.42,27.6509434,Good
0.67,44.8,22.05,10.37,42.26415094,Good
2.18,65.35,22.71,11.92,63.09021739,Moderate
2.17,67.53,20.97,11.43,65.4123913,Moderate
0.63,35.64,21.06,10.89,33.62264151,Good
1.46,42.83,17.73,12.05,40.40566038,Good
0.65,42.24,18.41,11.05,39.8490566,Good
0.73,51.08,20.34,10.41,48.18867925,Good
0.88,65.65,20.88,11.67,63.40978261,Moderate
1.6,81.06,19.73,10.76,79.82478261,Moderate
0.78,81.04,20.39,11.49,79.80347826,Moderate
0.44,41.16,23.05,12.04,38.83018868,Good
0.33,30.15,29.09,10.71,28.44339623,Good
0.35,37.76,25,12.48,35.62264151,Good
0.52,71.73,21.53,11.2,69.88630435,Moderate
1.29,90.3,20.09,12.61,89.6673913,Moderate
0.56,74.6,21.78,12.09,72.94347826,Moderate
1.29,96.36,22.42,11.88,96.1226087,Moderate
0.45,51.33,29.83,11.74,48.4245283,Good
0.36,42.33,20.83,10.45,39.93396226,Good
0.36,42.25,14.09,11.31,39.85849057,Good
1.14,55.55,15.84,11.8,52.65108696,Moderate
0.47,46.72,16.33,10.89,44.0754717,Good
0.64,52.96,19.93,10.45,49.96226415,Good
0.92,61.15,16.81,11.26,58.61630435,Moderate
0.9,53.09,21.48,10.08,19.88888889,Good
0.4,35.61,21.34,10.54,33.59433962,Good
0.28,26.06,22.16,9.76,24.58490566,Good
